Namespace,Name,HasSample,HasSnipSnop,HasDatasheet,HasDocOverride,IsUIDCorrect,HasFritzing,HasCodeExample,HasWiringExample,HasPurchasing,IsPublished
Meadow.Foundation.Sensors.Light,Bh1745,True,True,False,True,True,False,True,True,False,True
Meadow.Foundation.Sensors.Light,Bh1750,True,True,False,True,True,True,True,True,False,True
Meadow.Foundation.Sensors.Light,Max44009,True,True,False,True,True,True,True,True,False,True
Meadow.Foundation.Sensors.Light,Si1145,True,True,False,True,True,False,True,True,True,True
Meadow.Foundation.Sensors.Light,Temt6000,True,True,False,True,True,True,True,True,False,True
Meadow.Foundation.Sensors.Light,Tsl2591,True,True,False,True,True,False,True,False,False,True
Meadow.Foundation.Sensors.Light,Veml7700,True,True,False,True,True,True,True,True,False,True
Meadow.Foundation.Sensors.LoadCell,Hx711,True,True,False,True,True,False,True,False,False,True
Meadow.Foundation.Sensors.LoadCell,Nau7802,True,True,False,True,True,False,True,False,False,True
Meadow.Foundation.Sensors.Moisture,Capacitive,True,True,False,True,True,False,True,True,False,True
Meadow.Foundation.Sensors.Moisture,Fc28,True,True,False,True,True,False,True,True,False,True
Meadow.Foundation.Sensors.Motion,Adxl335,True,True,False,True,True,False,True,True,False,True
Meadow.Foundation.Sensors.Motion,Adxl337,True,True,False,True,True,False,True,True,False,True
Meadow.Foundation.Sensors.Motion,Adxl343,True,True,False,True,True,False,True,False,False,True
Meadow.Foundation.Sensors.Motion,Adxl345,True,True,False,True,True,False,True,True,False,True
Meadow.Foundation.Sensors.Motion,Adxl362,True,True,False,True,True,False,True,True,False,True
Meadow.Foundation.Sensors.Motion,Adxl377,True,True,False,True,True,False,True,True,False,True
Meadow.Foundation.Sensors.Motion,Ak9753,True,True,False,False,False,False,False,False,False,True
Meadow.Foundation.Sensors.Motion,Apds9960,True,False,False,True,True,False,True,False,False,False
Meadow.Foundation.Sensors.Motion,Bmi270,True,True,False,True,False,False,True,False,False,True
Meadow.Foundation.Sensors.Motion,Bno055,True,True,False,True,True,False,True,True,False,True
Meadow.Foundation.Sensors.Motion,C4001,True,True,False,False,False,False,False,False,False,True
Meadow.Foundation.Sensors.Motion,Hcsens0040,True,True,False,True,True,False,True,True,False,True
Meadow.Foundation.Sensors.Motion,Hmc5883,True,True,False,True,True,False,True,False,False,True
Meadow.Foundation.Sensors.Motion,Lis2mdl,True,True,False,False,False,False,False,False,False,True
Meadow.Foundation.Sensors.Motion,Lis3mdl,True,True,False,False,False,False,False,False,False,True
Meadow.Foundation.Sensors.Motion,Lsm303agr,True,True,False,True,True,False,True,False,False,True
Meadow.Foundation.Sensors.Motion,Lsm6dsox,True,True,False,False,False,False,False,False,False,True
Meadow.Foundation.Sensors.Motion,Mag3110,True,True,False,True,True,False,True,True,False,True
Meadow.Foundation.Sensors.Motion,Mma7660fc,True,True,False,True,True,False,True,False,False,True
Meadow.Foundation.Sensors.Motion,Mmc5603,True,True,False,True,True,False,True,False,False,True
Meadow.Foundation.Sensors.Motion,Mpu6050,True,True,False,True,True,False,True,False,False,True
Meadow.Foundation.Sensors.Motion,ParallaxPir,True,True,False,True,True,False,True,True,False,True
Meadow.Foundation.Sensors.Power,CurrentTransducer,True,True,False,True,True,False,True,False,False,True
Meadow.Foundation.Sensors.Power,Ina219,True,True,False,True,True,False,True,False,False,True
Meadow.Foundation.Sensors.Power,Ina228,True,True,False,True,True,False,True,False,False,True
Meadow.Foundation.Sensors.Power,Ina260,True,True,False,True,True,False,True,False,False,True
Meadow.Foundation.Sensors.Power,Spm1x,False,False,False,True,True,False,False,False,False,True
Meadow.Foundation.Sensors.Radio.Rfid,IDxxLA,True,True,False,True,True,False,True,False,False,True
Meadow.Foundation.Sensors.Sound,Ky038,True,True,False,True,True,False,True,False,False,True
Meadow.Foundation.Sensors.Temperature,Adt7410,True,True,False,True,True,False,True,False,False,True
Meadow.Foundation.Sensors.Temperature,Lm75,True,True,False,True,True,False,True,False,False,True
Meadow.Foundation.Sensors.Temperature,Max6675,True,True,False,True,True,False,True,False,False,True
Meadow.Foundation.Sensors.Temperature,Mcp9600,True,True,False,True,True,False,True,False,False,True
Meadow.Foundation.Sensors.Temperature,Mcp9601,True,True,False,True,True,False,True,False,False,True
Meadow.Foundation.Sensors.Temperature,Mcp9808,True,True,False,True,True,False,True,False,False,True
Meadow.Foundation.Sensors.Temperature,Mlx90614,True,True,False,True,True,False,True,False,False,True
Meadow.Foundation.Sensors.Temperature,Pct2075,True,True,False,True,True,False,True,False,False,True
Meadow.Foundation.Sensors.Temperature,Thermistor,True,True,False,True,True,False,True,False,False,True
Meadow.Foundation.Sensors.Temperature,Tmp102,True,True,False,True,True,False,True,True,False,True
Meadow.Foundation.Sensors.Volume,ResistiveTankLevelSender,False,False,False,True,True,False,False,False,False,True
Meadow.Foundation.Sensors.Weather,SwitchingAnemometer,True,True,False,True,True,False,True,False,False,True
Meadow.Foundation.Sensors.Weather,SwitchingRainGauge,True,True,False,True,True,False,True,False,False,True
Meadow.Foundation.Sensors.Weather,WindVane,True,True,False,True,True,False,True,False,False,True
,SeeedWioE5,False,False,False,False,False,False,False,False,False,True
,WaveshareSx1303,False,False,False,False,False,False,False,False,False,False
